className	displayName	armaCategory	armaType	mass	count	maxLoad	mod	addons
UK3CB_Earpiece_NVG	Earpiece	Item	NVGoggles	1	-1	-1	@3CB Factions	UK3CB_Factions_Facegear
V_PlateCarrier1_rgr	Carrier Lite (Green)	Equipment	Vest	80	-1	140	@3CB Factions	UK3CB_Factions_Equipment_Vests;A3_Characters_F
UK3CB_V_Invisible	Invisible Chestrig	Equipment	Vest	10	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Invisible_Plate	Invisible Chestrig + Plate	Equipment	Vest	80	-1	140	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Pouch	Hip Pouch	Equipment	Vest	10	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
rhs_belt_ak	Belt Equipment (Rifleman)	Equipment	Vest	10	-1	60	@RHSAFRF	rhs_c_troops
rhs_suspender_ak4	Suspender Equipment (Rifleman/Light)	Equipment	Vest	10	-1	40	@RHSAFRF	rhs_c_troops
rhs_suspender_ak	Suspender Equipment (Rifleman)	Equipment	Vest	10	-1	60	@RHSAFRF	rhs_c_troops
UK3CB_V_Chestrig_TKA_BRUSH	Lazutchik M Chest Rig (Takistan Brush) (L)	Equipment	Vest	10	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Chestrig_TKA_OLI	Lazutchik M Chest Rig (Olive) (L)	Equipment	Vest	10	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Chestrig_OLI	M23 Chest Rig (Olive)	Equipment	Vest	10	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Chestrig_ERDL	M23 Chest Rig (ERDL)	Equipment	Vest	10	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Chestrig_WDL_01	M23 Chest Rig (Woodland)	Equipment	Vest	10	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Chestrig_WDL_02	M23 Chest Rig (Woodland alt)	Equipment	Vest	10	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Chestrig_Tan	M23 Chest Rig (Tan)	Equipment	Vest	10	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Chestrig_2_Small_OLI	Lazutchik M Chest Rig (Olive) (S)	Equipment	Vest	10	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Chestrig_Lite_KHK	Lazutchik M Chest Rig Basic (Khaki) (L)	Equipment	Vest	10	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Chestrig_Lite_2_Small_KHK	Lazutchik M Chest Rig Basic (Khaki) (S)	Equipment	Vest	10	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_CW_Chestrig	Ammo Pouch Bandoleer (Khaki) (L)	Equipment	Vest	10	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_CW_Chestrig_2_Small	Ammo Pouch Bandoleer (Khaki) (S)	Equipment	Vest	10	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_PASGT_RIF_Vest	PASGT Vest (Woodland)	Equipment	Vest	80	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_PASGT_Crew_Vest	PASGT Crew Vest (Woodland)	Equipment	Vest	80	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_PASGT_Medic_Vest	PASGT Medic Vest (Woodland)	Equipment	Vest	80	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_PASGT_MG_Vest	PASGT Machine Gunner Vest (Woodland)	Equipment	Vest	80	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Pilot_Vest	Pilot Vest	Equipment	Vest	80	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Pilot_Vest_Black	Pilot Vest (Black)	Equipment	Vest	80	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Pilot_Vest_UCP	Pilot Vest (UCP)	Equipment	Vest	80	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Pilot_Vest_MTP	Pilot Vest (MTP)	Equipment	Vest	80	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Pilot_Vest_WIN	Pilot Vest (Winter)	Equipment	Vest	80	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Pilot_Vest_02_Oli	Pilot Vest (Olive)	Equipment	Vest	80	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Pilot_Vest_02_DIGI_GRN	Pilot Vest (Digital Green)	Equipment	Vest	80	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Falcon_1	Falcon Vest (A) (Digital Green)	Equipment	Vest	80	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Falcon_2	Falcon Vest (B) (Digital Green)	Equipment	Vest	80	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Falcon_3	Falcon Vest (C) (Digital Green)	Equipment	Vest	80	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Falcon_4	Falcon Vest (D) (Digital Green)	Equipment	Vest	80	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Falcon_5	Falcon Vest (E) (Digital Green)	Equipment	Vest	80	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Falcon_6	Falcon Vest (F) (Digital Green)	Equipment	Vest	80	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Falcon_7	Falcon Vest (G) (Digital Green)	Equipment	Vest	80	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Falcon_8	Falcon Vest (H) (Digital Green)	Equipment	Vest	80	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Falcon_9	Falcon Vest (I) (Digital Green)	Equipment	Vest	80	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Eagle_Vest_RIF	Eagle Vest Rifleman (Digital Green)	Equipment	Vest	80	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Eagle_Vest_MG	Eagle Vest Machine Gunner (Digital Green)	Equipment	Vest	80	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Eagle_Vest_MED	Eagle Vest Medic (Digital Green)	Equipment	Vest	80	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Eagle_Vest_SL	Eagle Vest Squad Leader (Digital Green)	Equipment	Vest	80	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Eagle_Vest_EOD	Eagle Vest EOD (Digital Green)	Equipment	Vest	80	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Eagle_Vest_GL	Eagle Vest Grenadier (Digital Green)	Equipment	Vest	80	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Eagle_Vest_CREW	Eagle Vest Crewman (Digital Green)	Equipment	Vest	80	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Pocketed_Vest_PAN	Multi-Pocket Vest (Pantera)	Equipment	Vest	15	-1	70	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Pocketed_Vest_TTSKO_BRN	Multi-Pocket Vest (TTsKO Brown)	Equipment	Vest	15	-1	70	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Pocketed_Vest_TTSKO_FOR	Multi-Pocket Vest (TTsKO Forest)	Equipment	Vest	15	-1	70	@3CB Factions	UK3CB_Factions_Equipment_Vests
rhsgref_chicom	Chicom Chest Rig	Equipment	Vest	15	-1	100	@RHSGREF	rhsgref_c_troops
UK3CB_V_Chicom_Brown	Chicom (Brown)	Equipment	Vest	15	-1	100	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Chicom_Brown_m88	Chicom (Brown/M88)	Equipment	Vest	15	-1	100	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Chicom_Desert	Chicom (Desert)	Equipment	Vest	15	-1	100	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Chicom_Desert_m88	Chicom (Desert/M88)	Equipment	Vest	15	-1	100	@3CB Factions	UK3CB_Factions_Equipment_Vests
rhsusf_mbav	MBAV	Equipment	Vest	60	-1	20	@RHSUSAF	rhsusf_c_troops
UK3CB_V_MBAV_BLK	MBAV [Black]	Equipment	Vest	60	-1	20	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_MBAV_OLI	MBAV [Olive]	Equipment	Vest	60	-1	20	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_MBAV_WIN	MBAV [Winter]	Equipment	Vest	60	-1	20	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_MBAV_MULTI	MBAV [Multicam]	Equipment	Vest	60	-1	20	@3CB Factions	UK3CB_Factions_Equipment_Vests
rhsusf_mbav_light	MBAV (Light)	Equipment	Vest	80	-1	100	@RHSUSAF	rhsusf_c_troops
UK3CB_V_MBAV_LIGHT_BLK	MBAV (Light) [Black]	Equipment	Vest	80	-1	100	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_MBAV_LIGHT_OLI	MBAV (Light) [Olive]	Equipment	Vest	80	-1	100	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_MBAV_LIGHT_WIN	MBAV (Light) [Winter]	Equipment	Vest	80	-1	100	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_MBAV_LIGHT_MULTI	MBAV (Light) [Multicam]	Equipment	Vest	80	-1	100	@3CB Factions	UK3CB_Factions_Equipment_Vests
rhsusf_mbav_rifleman	MBAV (Rifleman)	Equipment	Vest	80	-1	140	@RHSUSAF	rhsusf_c_troops
UK3CB_V_MBAV_RIFLEMAN_BLK	MBAV (Rifleman) [Black]	Equipment	Vest	80	-1	140	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_MBAV_RIFLEMAN_OLI	MBAV (Rifleman) [Olive]	Equipment	Vest	80	-1	140	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_MBAV_RIFLEMAN_WIN	MBAV (Rifleman) [Winter]	Equipment	Vest	80	-1	140	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_MBAV_RIFLEMAN_MULTI	MBAV (Rifleman) [Multicam]	Equipment	Vest	80	-1	140	@3CB Factions	UK3CB_Factions_Equipment_Vests
rhsusf_mbav_mg	MBAV (Machinegunner)	Equipment	Vest	80	-1	160	@RHSUSAF	rhsusf_c_troops
UK3CB_V_MBAV_MG_BLK	MBAV (Machinegunner) [Black]	Equipment	Vest	80	-1	160	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_MBAV_MG_OLI	MBAV (Machinegunner) [Olive]	Equipment	Vest	80	-1	160	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_MBAV_MG_WIN	MBAV (Machinegunner) [Winter]	Equipment	Vest	80	-1	160	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_MBAV_MG_MULTI	MBAV (Machinegunner) [Multicam]	Equipment	Vest	80	-1	160	@3CB Factions	UK3CB_Factions_Equipment_Vests
rhsusf_mbav_grenadier	MBAV (Grenadier)	Equipment	Vest	80	-1	150	@RHSUSAF	rhsusf_c_troops
UK3CB_V_MBAV_GRENADIER_BLK	MBAV (Grenadier) [Black]	Equipment	Vest	80	-1	150	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_MBAV_GRENADIER_OLI	MBAV (Grenadier) [Olive]	Equipment	Vest	80	-1	150	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_MBAV_GRENADIER_WIN	MBAV (Grenadier) [Winter]	Equipment	Vest	80	-1	150	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_MBAV_GRENADIER_MULTI	MBAV (Grenadier) [Multicam]	Equipment	Vest	80	-1	150	@3CB Factions	UK3CB_Factions_Equipment_Vests
rhsusf_mbav_medic	MBAV (Medic)	Equipment	Vest	80	-1	160	@RHSUSAF	rhsusf_c_troops
UK3CB_V_MBAV_MEDIC_BLK	MBAV (Medic) [Black]	Equipment	Vest	80	-1	160	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_MBAV_MEDIC_OLI	MBAV (Medic) [Olive]	Equipment	Vest	80	-1	160	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_MBAV_MEDIC_WIN	MBAV (Medic) [Winter]	Equipment	Vest	80	-1	160	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_MBAV_MEDIC_MULTI	MBAV (Medic) [Multicam]	Equipment	Vest	80	-1	160	@3CB Factions	UK3CB_Factions_Equipment_Vests
V_PlateCarrier1_blk	Carrier Lite (Black)	Equipment	Vest	80	-1	140		A3_Characters_F
UK3CB_V_PlateCarrier1_brn	Carrier Lite (Brown)	Equipment	Vest	80	-1	140	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_PlateCarrier1_des	Carrier Lite (Desert)	Equipment	Vest	80	-1	140	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_PlateCarrier1_khk	Carrier Lite (Khaki)	Equipment	Vest	80	-1	140	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_PlateCarrier1_oli	Carrier Lite (Olive)	Equipment	Vest	80	-1	140	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_PlateCarrier1_win	Carrier Lite (Winter)	Equipment	Vest	80	-1	140	@3CB Factions	UK3CB_Factions_Equipment_Vests
V_PlateCarrier2_blk	Carrier Rig (Black)	Equipment	Vest	100	-1	140		A3_Characters_F
UK3CB_V_PlateCarrier2_brn	Carrier Rig (Brown)	Equipment	Vest	100	-1	140	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_PlateCarrier2_des	Carrier Rig (Desert)	Equipment	Vest	100	-1	140	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_PlateCarrier2_khk	Carrier Rig (Khaki)	Equipment	Vest	100	-1	140	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_PlateCarrier2_oli	Carrier Rig (Olive)	Equipment	Vest	100	-1	140	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_PlateCarrier2_win	Carrier Rig (Winter)	Equipment	Vest	100	-1	140	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_Compact_EAF	Modular Carrier Vest Compact (Geometric)	Equipment	Vest	60	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_CQB_EAF	Modular Carrier Vest CQB (Geometric)	Equipment	Vest	60	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_CREW_EAF	Modular Carrier Vest Crew (Geometric)	Equipment	Vest	60	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_RECON_EAF	Modular Carrier Vest Recon (Geometric)	Equipment	Vest	60	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_TACTICAL_EAF	Modular Carrier Vest Tactical (Geometric)	Equipment	Vest	80	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_Compact_OLI	Modular Carrier Vest Compact (Olive)	Equipment	Vest	60	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_CQB_OLI	Modular Carrier Vest CQB (Olive)	Equipment	Vest	60	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_CREW_OLI	Modular Carrier Vest Crew (Olive)	Equipment	Vest	60	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_RECON_OLI	Modular Carrier Vest Recon (Olive)	Equipment	Vest	60	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_TACTICAL_OLI	Modular Carrier Vest Tactical (Olive)	Equipment	Vest	80	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_Compact_BLK	Modular Carrier Vest Compact (Black)	Equipment	Vest	60	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_CQB_BLK	Modular Carrier Vest CQB (Black)	Equipment	Vest	60	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_CREW_BLK	Modular Carrier Vest Crew (Black)	Equipment	Vest	60	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_RECON_BLK	Modular Carrier Vest Recon (Black)	Equipment	Vest	60	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_TACTICAL_BLK	Modular Carrier Vest Tactical (Black)	Equipment	Vest	80	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_Compact_DES	Modular Carrier Vest Compact (Desert)	Equipment	Vest	60	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_CQB_DES	Modular Carrier Vest CQB (Desert)	Equipment	Vest	60	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_CREW_DES	Modular Carrier Vest Crew (Desert)	Equipment	Vest	60	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_RECON_DES	Modular Carrier Vest Recon (Desert)	Equipment	Vest	60	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_TACTICAL_DES	Modular Carrier Vest Tactical (Desert)	Equipment	Vest	80	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_Compact_GRN	Modular Carrier Vest Compact (Green)	Equipment	Vest	60	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_CQB_GRN	Modular Carrier Vest CQB (Green)	Equipment	Vest	60	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_CREW_GRN	Modular Carrier Vest Crew (Green)	Equipment	Vest	60	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_RECON_GRN	Modular Carrier Vest Recon (Green)	Equipment	Vest	60	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_TACTICAL_GRN	Modular Carrier Vest Tactical (Green)	Equipment	Vest	80	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_Compact_KHK	Modular Carrier Vest Compact (Khaki)	Equipment	Vest	60	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_CQB_KHK	Modular Carrier Vest CQB (Khaki)	Equipment	Vest	60	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_CREW_KHK	Modular Carrier Vest Crew (Khaki)	Equipment	Vest	60	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_RECON_KHK	Modular Carrier Vest Recon (Khaki)	Equipment	Vest	60	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_TACTICAL_KHK	Modular Carrier Vest Tactical (Khaki)	Equipment	Vest	80	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_Compact_TAN	Modular Carrier Vest Compact (Tan)	Equipment	Vest	60	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_CQB_TAN	Modular Carrier Vest CQB (Tan)	Equipment	Vest	60	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_CREW_TAN	Modular Carrier Vest Crew (Tan)	Equipment	Vest	60	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_RECON_TAN	Modular Carrier Vest Recon (Tan)	Equipment	Vest	60	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_TACTICAL_TAN	Modular Carrier Vest Tactical (Tan)	Equipment	Vest	80	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_Compact_UCP	Modular Carrier Vest Compact (UCP)	Equipment	Vest	60	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_CQB_UCP	Modular Carrier Vest CQB (UCP)	Equipment	Vest	60	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_CREW_UCP	Modular Carrier Vest Crew (UCP)	Equipment	Vest	60	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_RECON_UCP	Modular Carrier Vest Recon (UCP)	Equipment	Vest	60	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_TACTICAL_UCP	Modular Carrier Vest Tactical (UCP)	Equipment	Vest	80	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_Compact_WHI	Modular Carrier Vest Compact (White)	Equipment	Vest	60	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_CQB_WHI	Modular Carrier Vest CQB (White)	Equipment	Vest	60	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_CREW_WHI	Modular Carrier Vest Crew (White)	Equipment	Vest	60	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_RECON_WHI	Modular Carrier Vest Recon (White)	Equipment	Vest	60	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_TACTICAL_WHI	Modular Carrier Vest Tactical (White)	Equipment	Vest	80	-1	180	@3CB Factions	UK3CB_Factions_Equipment_Vests
UK3CB_V_Carrier_Rig_Light_BLK	Modular Carrier Lite (Black)	Equipment	Vest	70	-1	130	@3CB Factions	UK3CB_Factions_Equipment_Vests
